MSSubClass	LotFrontage	LotArea	OverallQual	OverallCond	YearBuilt	YearRemodAdd	BsmtFinSF1	BsmtUnfSF	TotalBsmtSF	1stFlrSF	GrLivArea	FullBath	BedroomAbvGr	TotRmsAbvGrd	GarageYrBlt	GarageCars	GarageArea	OpenPorchSF	YrSold	SalePrice
20	98	11478	8	5	2007	2008	1218	486	1704	1704	1704	2	3	7	2008	3	772	50	2010	306000
20	47	16321	5	6	1957	1997	1277	207	1484	1600	1600	1	2	6	1957	1	319	258	2006	207500
30	60	6324	4	6	1927	1950	0	520	520	520	520	1	1	4	1920	1	240	0	2008	68500
70	50	8500	4	4	1920	1950	0	649	649	649	1317	1	3	6	1920	1	250	54	2008	40000
20	NA	8544	5	6	1966	2006	0	1228	1228	1228	1228	1	3	6	1966	1	271	65	2008	149350
20	85	11049	8	5	2007	2007	0	1234	1234	1234	1234	2	3	7	2007	2	484	30	2008	179900
20	70	10552	5	5	1959	1959	1018	380	1398	1700	1700	1	4	6	1959	2	447	38	2010	165500
120	60	7313	9	5	2005	2005	1153	408	1561	1561	1561	2	2	6	2005	2	556	47	2007	277500
60	108	13418	8	5	2004	2005	0	1117	1117	1132	2452	3	4	9	2004	3	691	32	2006	309000
20	112	10859	5	5	1994	1995	0	1097	1097	1097	1097	1	3	6	1995	2	672	64	2009	145000
20	74	8532	5	6	1954	1990	1213	84	1297	1297	1297	1	3	5	1954	2	498	0	2009	153000
20	68	7922	5	7	1953	2007	731	326	1057	1057	1057	1	3	5	1953	1	246	52	2010	109000
90	65	6040	4	5	1955	1955	0	0	0	1152	1152	2	2	6	NA	0	0	0	2008	82000
20	84	8658	6	5	1965	1965	643	445	1088	1324	1324	2	3	6	1965	2	440	138	2006	160000
20	115	16905	5	6	1959	1959	967	383	1350	1328	1328	1	2	5	1959	1	308	104	2007	170000
85	NA	9180	5	7	1983	1983	747	0	840	884	884	1	2	5	1983	2	504	0	2007	144000
20	NA	9200	5	6	1975	1980	280	167	938	938	938	1	3	5	1977	1	308	0	2008	130250
20	70	7945	5	6	1959	1959	179	465	1150	1150	1150	1	3	6	1959	1	300	0	2006	141000
120	61	7658	9	5	2005	2005	456	1296	1752	1752	1752	2	2	6	2005	2	576	82	2010	319900
50	48	12822	7	5	2003	2003	1351	83	1434	1518	2149	1	1	6	2003	2	670	43	2009	239686
20	84	11096	8	5	2006	2006	24	1632	1656	1656	1656	2	3	7	2006	3	826	146	2007	249700
190	33	4456	4	5	1920	2008	0	736	736	736	1452	2	2	8	NA	0	0	0	2009	113000
20	66	7742	5	7	1966	1966	763	192	955	955	955	1	3	6	1966	1	386	0	2007	127000
60	NA	13869	6	6	1997	1997	182	612	794	794	1470	2	3	6	1997	2	388	75	2007	177000
50	52	6240	6	6	1934	1950	0	816	816	816	1176	1	3	6	1985	2	528	0	2006	114500
90	110	8472	5	5	1963	1963	104	0	816	816	816	1	2	5	1963	2	516	0	2010	110000
20	68	50271	9	5	1981	1987	1810	32	1842	1842	1842	0	0	5	1981	3	894	72	2006	385000
80	60	7134	5	5	1955	1955	384	0	384	1360	1360	1	3	6	1962	2	572	50	2007	130000
20	100	10175	6	5	1964	1964	490	935	1425	1425	1425	2	3	7	1964	2	576	0	2008	180500
160	24	2645	8	5	1999	2000	649	321	970	983	1739	2	3	7	1999	2	480	0	2009	172500
60	89	11645	7	5	2004	2004	0	860	860	860	1720	2	3	7	2004	2	565	70	2006	196500
60	66	13682	10	5	2006	2006	0	1410	1410	1426	2945	3	3	10	2006	3	641	0	2006	438780
20	60	7200	5	7	1972	1972	632	148	780	780	780	1	2	4	1973	1	352	0	2008	124900
20	63	13072	6	5	2004	2004	941	217	1158	1158	1158	1	3	5	2006	2	576	50	2006	158000
75	60	7200	5	7	1920	1996	0	530	530	581	1111	1	3	6	1935	1	288	0	2007	101000
120	44	6442	8	5	2006	2006	24	1346	1370	1370	1370	2	2	6	2006	2	484	49	2007	202500
70	50	10300	7	6	1921	1950	0	576	576	902	1710	2	3	9	1990	2	480	11	2010	140000
60	NA	9375	7	5	1997	1998	739	318	1057	1057	2034	2	3	8	1998	2	645	36	2009	219500
60	76	9591	8	5	2004	2005	0	1143	1143	1143	2473	2	4	9	2004	3	852	151	2007	317000
20	NA	19900	7	5	1970	1989	912	1035	1947	2207	2207	2	3	7	1970	2	576	0	2010	180000
20	72	10665	7	5	2003	2003	1013	440	1453	1479	1479	2	3	7	2003	2	558	29	2007	226000
30	47	4608	4	6	1945	1950	0	747	747	747	747	1	2	4	1945	1	220	0	2010	80000
50	81	15593	7	4	1953	1953	603	701	1304	1304	2287	2	3	7	1953	2	667	21	2006	225000
20	95	13651	7	6	1973	1973	1880	343	2223	2223	2223	2	3	8	1973	2	516	0	2007	244000
20	69	7599	4	6	1982	2006	565	280	845	845	845	1	2	4	1987	2	360	0	2007	129500
60	74	10141	7	5	1998	1998	0	832	832	885	1718	2	3	7	1998	2	427	94	2009	185000
20	85	10200	5	7	1954	2003	320	404	1086	1086	1086	1	3	6	1989	2	490	0	2010	144900
50	60	5790	3	6	1915	1950	0	840	840	840	1605	2	3	8	1915	1	379	0	2010	107400
180	21	1596	4	5	1973	1973	462	0	462	526	988	1	2	5	1973	1	297	101	2009	91000
20	NA	8475	4	7	1956	1956	228	724	952	952	952	1	2	4	1956	1	283	0	2008	135750
50	50	8635	5	5	1948	2001	336	295	672	1072	1285	1	2	6	1948	1	240	0	2008	127000
90	72	10778	4	5	1968	1968	0	1768	1768	1768	1768	2	4	8	NA	0	0	0	2010	136500
50	60	10440	5	6	1910	1981	0	440	440	682	1230	1	2	5	1966	2	440	0	2009	110000
60	100	13000	6	6	1968	1968	448	448	896	1182	2142	2	4	8	1968	1	509	72	2009	193500
120	32	4500	6	5	1998	1998	1201	36	1237	1337	1337	2	2	5	1998	2	405	199	2006	153500
20	78	10206	8	5	2007	2007	33	1530	1563	1563	1563	2	3	6	2007	3	758	99	2008	245000
20	80	8892	5	5	1960	1960	0	1065	1065	1065	1065	1	3	6	1974	2	461	0	2007	126500
80	NA	8530	7	5	1995	1996	0	384	384	804	1474	2	3	7	1995	2	400	72	2009	168500
60	121	16059	8	5	1991	1992	0	1288	1288	1301	2417	2	4	9	1991	2	462	82	2006	260000
60	122	11911	6	5	2005	2005	0	684	684	684	1560	2	3	6	2005	2	400	38	2009	174000
160	40	3951	6	5	2009	2009	0	612	612	612	1224	2	2	4	2009	2	528	234	2009	164500
50	105	8470	3	2	1915	1982	0	1013	1013	1013	1526	1	2	6	NA	0	0	0	2009	85000
20	60	8070	4	5	1994	1995	588	402	990	990	990	1	3	5	NA	0	0	0	2007	123600
20	60	7200	4	5	1950	1950	0	0	0	1040	1040	1	2	4	1950	2	420	29	2006	109900
20	85	8500	5	3	1961	1961	600	635	1235	1235	1235	1	2	6	1961	2	480	0	2006	98600
30	80	13360	5	7	1921	2006	713	163	876	964	964	1	2	5	1921	2	432	0	2009	163500
190	60	7200	6	6	1910	1998	1046	168	1214	1260	2291	2	4	9	1900	2	506	0	2007	133900
60	69	9337	6	5	1997	1997	648	176	824	905	1786	2	3	7	1997	2	684	162	2007	204750
60	NA	9765	6	8	1993	1993	310	370	680	680	1470	2	3	6	1993	2	420	63	2009	185000
20	78	10264	7	5	1999	1999	1162	426	1588	1588	1588	2	3	6	1999	2	472	29	2006	214000
20	73	10921	4	5	1965	1965	520	440	960	960	960	1	3	6	1965	1	432	0	2007	94750
30	85	10625	5	5	1920	1950	108	350	458	835	835	1	2	5	1920	1	366	0	2010	83000
20	77	9320	4	5	1959	1959	569	381	950	1225	1225	1	3	6	NA	0	0	0	2010	128950
20	NA	10603	6	7	1977	2001	1200	410	1610	1610	1610	2	3	6	1977	2	480	68	2010	205000
60	77	9206	6	5	1985	1985	0	741	741	977	1732	2	3	7	1985	2	476	46	2010	178000
90	64	7018	5	5	1979	1979	0	0	0	1535	1535	2	4	8	1979	2	410	0	2009	118964
20	94	10402	7	5	2009	2009	0	1226	1226	1226	1226	2	3	6	2009	3	740	36	2010	198900
50	NA	7758	7	4	1931	1950	224	816	1040	1226	1818	1	4	7	1951	1	240	0	2007	169500
60	75	9375	8	5	2003	2004	0	1053	1053	1053	1992	2	3	9	2003	2	648	45	2008	250000
30	60	10800	4	7	1885	1995	0	641	641	1047	1047	1	2	6	1954	1	273	0	2007	100000
20	50	6000	5	5	1948	1950	104	516	789	789	789	1	2	5	1948	1	250	0	2008	115000
50	85	8500	5	7	1919	2005	0	793	793	997	1517	2	3	7	NA	0	0	0	2007	115000
20	105	11751	6	6	1977	1977	705	1139	1844	1844	1844	2	3	7	1977	2	546	122	2010	190000
50	75	9525	6	4	1954	1972	444	550	994	1216	1855	2	4	7	1954	1	325	0	2006	136900
80	NA	7750	7	5	2000	2000	250	134	384	774	1430	2	3	7	2000	2	400	0	2010	180000
60	77	9965	7	5	2007	2007	984	280	1264	1282	2696	2	4	10	2007	3	792	184	2007	383970
20	NA	21000	6	5	1953	1953	35	905	1809	2259	2259	2	3	7	1953	2	450	120	2007	217000
70	61	7259	6	8	1945	2002	774	104	1028	1436	2320	2	3	9	1945	1	180	0	2007	259500
160	34	3230	6	5	1999	1999	419	310	729	729	1458	2	2	5	1999	2	440	32	2007	176000
20	NA	11616	5	5	1962	1962	170	252	1092	1092	1092	1	3	6	1962	1	288	20	2009	139000
20	74	8536	5	5	2006	2007	0	1125	1125	1125	1125	1	2	5	2007	2	430	64	2007	155000
60	90	12376	7	5	1990	1990	1470	203	1673	1699	3222	3	5	11	1990	3	594	0	2010	320000
60	65	8461	6	5	2005	2006	0	728	728	728	1456	2	3	8	2005	2	390	24	2006	163990
80	NA	21453	6	5	1969	1969	938	0	938	988	988	1	1	4	1969	2	540	130	2006	180000
50	50	6060	4	5	1939	1950	0	732	732	772	1123	1	3	4	1979	1	264	0	2007	100000
20	75	9464	6	7	1958	1958	570	510	1080	1080	1080	1	3	5	1958	1	288	0	2008	136000
120	55	7892	6	5	1993	1993	300	899	1199	1199	1199	2	2	5	1993	2	530	63	2008	153900
20	48	17043	6	5	1979	1998	0	1362	1362	1586	1586	2	3	7	1979	2	435	0	2009	181000
190	60	6780	6	8	1935	1982	490	30	520	520	754	1	2	5	NA	0	0	0	2006	84500
120	NA	4928	6	5	1976	1976	120	958	1078	958	958	2	2	5	1977	2	440	205	2007	128000
45	55	4388	5	7	1930	1950	116	556	672	840	840	1	3	5	NA	0	0	0	2007	87000
60	69	7590	6	5	1966	1966	512	148	660	660	1348	1	3	6	1966	2	453	108	2006	155000
20	69	8973	5	7	1958	1991	567	413	1008	1053	1053	1	3	6	1998	2	750	80	2006	150000
60	88	14200	7	6	1966	1966	445	479	924	1216	2157	2	4	8	1966	2	487	66	2006	226000
60	NA	12224	6	5	2000	2000	695	297	992	1022	2054	2	3	7	2000	2	390	48	2009	244000
20	75	7388	5	6	1959	2002	405	658	1063	1327	1327	1	3	7	1974	2	624	0	2007	150750
20	NA	6853	8	5	2001	2002	1005	262	1267	1296	1296	2	2	6	2001	2	471	25	2009	220000
20	78	10335	5	6	1968	1993	570	891	1461	1721	1721	2	3	7	1968	2	440	96	2006	180000
20	80	10400	7	6	1970	1970	0	1304	1304	1682	1682	2	3	7	1970	2	530	0	2008	174000
20	NA	10355	5	5	1967	1967	695	519	1214	1214	1214	2	3	5	1967	1	318	111	2007	143000
90	82	11070	7	5	1988	1989	0	1907	1907	1959	1959	3	5	9	1989	3	766	0	2006	171000
60	73	9066	8	5	1999	2000	668	336	1004	1004	1852	2	3	7	1999	3	660	106	2008	230000
60	65	15426	6	5	1997	1997	821	107	928	928	1764	2	3	7	1997	2	470	99	2009	231500
20	70	10500	4	5	1971	1971	432	432	864	864	864	1	3	5	NA	0	0	0	2010	115000
20	78	11645	7	5	2005	2005	1300	434	1734	1734	1734	2	3	7	2005	2	660	24	2006	260000
50	71	8520	5	4	1952	1952	507	403	910	910	1385	2	4	6	2000	2	720	0	2010	166000
20	78	10335	7	5	1999	1999	679	811	1490	1501	1501	2	3	6	1999	2	577	29	2009	204000
90	70	9100	5	5	1963	1963	1332	396	1728	1728	1728	2	6	10	1963	2	504	0	2006	125000
160	24	2522	6	5	2004	2006	0	970	970	970	1709	2	3	7	2004	2	380	40	2006	130000
30	51	6120	5	7	1931	1993	209	506	715	875	875	1	2	5	1931	1	180	0	2009	105000
60	NA	9505	7	5	2001	2001	0	884	884	884	2035	2	3	8	2001	2	434	48	2010	222500
20	63	7500	7	5	2004	2005	680	400	1080	1080	1080	1	3	6	NA	0	0	0	2008	141000
50	NA	6240	5	4	1936	1950	0	896	896	896	1344	1	3	7	1936	1	240	114	2006	115000
20	120	10356	5	6	1975	1975	716	253	969	969	969	1	3	5	1975	2	440	0	2007	122000
20	107	13891	8	5	2007	2008	1400	310	1710	1710	1710	2	2	6	2007	3	866	102	2008	372402
60	NA	14803	6	5	1971	1971	416	409	825	1097	1993	2	4	8	1971	2	495	66	2006	190000
20	NA	13500	6	7	1960	1975	429	93	1602	1252	1252	1	1	4	1960	2	564	0	2008	235000
30	84	11340	6	5	1923	1950	0	1200	1200	1200	1200	1	4	7	1923	1	312	0	2006	125000
50	60	9600	6	5	1924	1950	0	572	572	572	1096	1	2	5	NA	0	0	8	2008	79000
20	60	7200	5	7	1950	1950	0	0	0	1040	1040	1	2	5	1950	2	625	0	2006	109500
60	92	12003	8	5	2009	2010	0	774	774	774	1968	2	4	8	2009	3	680	75	2010	269500
60	100	12552	7	5	2004	2005	222	769	991	991	1947	2	3	8	2004	2	678	136	2010	254900
60	134	19378	7	5	2005	2006	57	1335	1392	1392	2462	2	4	9	2006	2	576	132	2006	320000
20	NA	11120	6	6	1984	1984	660	572	1232	1232	1232	2	3	6	1984	2	516	0	2008	162500
60	110	13688	9	5	2003	2004	1016	556	1572	1572	2668	2	3	10	2003	3	726	0	2008	412500
20	95	12182	7	5	2005	2005	1201	340	1541	1541	1541	2	3	7	2005	2	532	70	2010	220000
45	55	5500	4	6	1956	1956	0	882	882	882	882	1	1	4	NA	0	0	0	2007	103200
40	40	5400	6	7	1926	2004	370	779	1149	1149	1616	2	3	5	1926	1	216	0	2007	152000
190	62	10106	5	7	1940	1999	351	112	644	808	1355	2	4	6	NA	0	0	0	2008	127500
20	NA	10708	5	5	1955	1993	379	470	1617	1867	1867	1	2	7	1955	1	303	0	2009	190000
60	86	10562	8	5	2007	2007	1288	294	1582	1610	2161	1	3	8	2007	3	789	120	2007	325624
60	62	8244	7	5	2004	2004	0	840	840	840	1720	2	3	7	2004	2	440	48	2007	183500
20	NA	16669	8	6	1981	1981	0	1686	1686	1707	1707	2	2	6	1981	2	511	64	2006	228000
50	NA	12358	5	6	1941	1950	360	360	720	854	1382	1	2	7	1991	2	660	0	2007	128500
20	141	31770	6	5	1960	1960	639	441	1080	1656	1656	1	3	7	1960	2	528	62	2010	215000
160	44	5306	7	7	1987	1987	495	354	1064	1064	1767	2	2	5	1987	2	504	35	2006	239000
20	80	10197	6	5	1961	1961	288	700	1362	1362	1362	1	3	6	1961	2	504	20	2008	163000
20	47	12416	6	5	1986	1986	1398	0	1606	1651	1651	2	3	7	1986	2	616	0	2008	184000
20	84	12615	6	7	1950	2001	477	725	1202	2158	2158	2	4	7	1950	2	576	29	2007	243000
60	97	10029	6	5	1988	1989	831	320	1151	1164	2060	2	4	8	1988	2	521	228	2007	211000
50	NA	13650	5	5	1958	1958	57	554	1052	1252	1920	2	4	8	1958	2	451	0	2006	172500
20	63	17423	9	5	2008	2009	1904	312	2216	2234	2234	2	1	9	2009	3	1166	60	2009	501837
30	60	8520	5	6	1923	2006	0	968	968	968	968	1	2	5	1935	2	480	0	2007	100000
160	NA	2117	6	5	2000	2000	436	320	756	769	1525	2	3	5	2000	2	440	0	2007	177000
70	54	7588	7	6	1920	1950	352	441	793	901	1802	1	4	9	1920	1	216	0	2006	200100
20	60	9060	5	6	1957	2006	0	0	0	1340	1340	1	3	7	1957	1	252	0	2007	120000
50	63	11426	7	5	2003	2003	0	1362	1362	1362	2082	2	3	6	2003	2	484	238	2008	200000
50	92	7438	5	8	1908	1991	0	504	504	936	1252	1	3	5	1986	2	576	0	2006	127000
75	90	22950	10	9	1892	1993	0	1107	1107	1518	3608	2	4	12	1993	3	840	260	2006	475000
80	NA	9947	7	5	1990	1991	611	577	1188	1217	1217	2	3	6	1990	2	497	27	2009	173000
50	60	10410	5	7	1916	1987	0	660	660	808	1656	2	3	8	1916	1	180	0	2009	135000
90	64	7018	5	5	1979	1979	1086	0	1086	1224	1224	0	2	6	1979	2	528	0	2009	153337
120	41	4923	8	5	2001	2002	1153	440	1593	1593	1593	1	0	5	2001	2	682	120	2008	286000
70	70	10570	8	8	1932	1994	297	556	853	1549	2727	2	3	10	1932	2	440	74	2007	315000
60	NA	7472	7	9	1972	2004	626	99	725	725	1479	1	4	7	1972	2	484	32	2007	184000
20	68	9017	7	5	1999	1999	560	871	1431	1431	1431	2	3	6	1999	2	666	35	2009	192000
160	24	2522	7	5	2004	2004	0	970	970	970	1709	2	3	7	2004	2	380	40	2006	130000
20	60	7180	5	7	1972	1972	390	474	864	864	864	1	3	5	1989	1	352	0	2008	127000
160	24	2280	6	6	1976	1976	566	289	855	855	1456	2	3	7	1976	2	440	0	2009	148500
20	79	9416	7	5	2007	2007	1126	600	1726	1726	1726	2	3	8	2007	3	786	138	2007	311872
75	174	25419	8	4	1918	1990	1036	140	1360	1360	3112	2	4	8	1918	2	795	16	2006	235000
75	92	5520	6	6	1912	1950	0	755	755	929	2229	1	5	8	NA	0	0	198	2009	104000
20	76	9591	8	5	2004	2005	1088	625	1713	1713	1713	2	3	7	2004	3	856	26	2009	274900
20	80	8546	4	5	2003	2004	0	1121	1121	1121	1121	2	2	5	2003	2	440	64	2010	140000
20	75	10125	6	6	1977	1977	641	276	1196	1279	1279	2	3	6	1980	2	473	83	2008	171500
50	50	7000	6	6	1924	1950	617	0	617	865	1310	2	2	6	1924	1	398	0	2006	112000
120	NA	4438	6	5	2004	2004	662	186	848	848	848	1	1	3	2004	2	420	0	2008	149000
50	50	3500	5	7	1947	1950	312	408	720	720	1284	1	2	5	1948	1	240	35	2009	110000
20	99	11851	7	5	1990	1990	0	1424	1424	1442	1442	2	3	5	1990	2	500	34	2009	180500
20	40	13673	5	5	1962	1962	0	1140	1140	1696	1696	1	3	8	1962	1	349	30	2007	143900
20	NA	12493	4	5	1960	1960	419	375	1100	1100	1100	1	3	6	1960	1	312	0	2008	141000
60	NA	14364	7	5	1988	1989	1065	92	1157	1180	2062	2	3	7	1988	2	454	55	2007	277000
20	75	8250	6	7	1964	1964	787	305	1092	1092	1092	1	3	6	1964	2	504	0	2008	145000
30	67	5604	5	6	1925	1950	468	396	864	864	864	1	2	5	NA	0	0	0	2008	98000
20	83	10420	6	5	2009	2009	36	1176	1212	1212	1212	2	3	6	2009	2	460	22	2010	186000
60	72	8640	7	5	2009	2009	822	78	900	932	1852	2	3	7	2009	2	644	108	2009	252678
20	43	13568	5	5	1995	1995	716	274	990	990	990	1	3	5	1996	2	576	0	2006	156000
60	NA	10900	6	7	1977	1977	378	311	689	689	1392	1	3	6	1977	1	299	36	2010	161750
20	72	10011	5	6	1957	1996	360	710	1070	1236	1236	1	2	6	1957	1	447	0	2006	134450
20	65	8450	7	5	2004	2004	946	490	1436	1436	1436	2	3	8	2004	2	484	98	2008	210000
70	57	9906	4	4	1925	1950	0	686	686	810	1328	1	3	8	1940	1	210	172	2006	107000
50	NA	15660	7	9	1939	2006	341	457	798	1137	1954	1	3	8	1939	2	431	119	2008	311500
120	43	3010	7	5	2005	2006	16	1232	1248	1248	1248	2	2	5	2005	2	438	0	2006	167240
20	73	8990	7	5	2006	2006	0	1498	1498	1498	1498	2	2	5	2006	2	675	33	2006	204900
60	NA	8068	6	5	2002	2002	0	1010	1010	1010	2267	2	4	8	2002	2	390	46	2009	200000
60	85	11475	6	6	1975	1975	550	163	713	811	1552	2	3	6	1975	2	434	208	2006	179900
20	70	10500	4	6	1971	1971	524	160	864	864	864	1	2	4	1989	2	576	0	2009	97000
20	103	13472	10	5	2003	2003	56	2336	2392	2392	2392	2	3	8	2003	3	968	105	2009	386250
160	21	1680	5	5	1971	1971	0	630	630	630	1302	2	3	6	1991	1	280	0	2009	112000
60	82	9950	7	5	1995	1995	565	638	1203	1214	2520	2	4	9	1995	3	721	114	2007	290000
160	21	1869	6	6	1970	1970	321	162	483	483	987	1	2	5	1987	1	280	0	2008	106000
20	70	8521	5	5	1967	1967	842	70	912	912	912	1	3	5	1974	1	336	0	2010	125000
120	43	3182	7	5	2005	2006	16	1357	1373	1555	1555	2	2	7	2005	2	430	20	2009	192500
20	73	8760	6	6	1959	1959	0	1194	1194	1194	1194	1	3	6	1959	1	312	0	2010	148000
60	174	15138	8	5	1995	1996	689	773	1462	1490	2794	2	4	9	1995	3	810	146	2009	403000
160	21	1680	6	5	1972	1972	0	483	483	483	987	1	2	5	1972	1	288	0	2006	94500
20	75	10650	5	6	1976	1976	182	0	894	894	894	1	3	5	1976	1	308	0	2010	128200
60	NA	7851	6	5	2002	2002	625	235	860	860	1960	2	4	8	2002	2	440	48	2010	216500
160	21	1680	6	3	1971	1971	358	125	483	483	987	1	2	5	1971	1	264	0	2008	89500
20	65	8773	7	5	2004	2004	24	1390	1414	1414	1414	2	3	6	2004	2	494	105	2010	185500
60	NA	9453	7	7	1993	2003	402	594	996	1014	1744	2	3	7	1993	2	457	70	2010	194500
20	93	12030	8	5	2007	2007	0	1694	1694	1694	1694	2	3	7	2007	3	818	228	2007	318000
50	52	8741	6	4	1945	1950	94	641	735	798	1487	1	3	7	1949	1	220	140	2010	113000
20	75	9000	8	5	2008	2008	1078	488	1566	1566	1566	2	3	7	2008	2	750	168	2010	262500
30	40	3880	5	9	1945	1997	329	357	686	866	866	1	2	4	NA	0	0	42	2007	110500
50	63	5000	5	4	1900	1950	0	540	540	889	1440	1	3	6	1940	1	352	0	2006	79000
160	75	10762	6	6	1980	1980	0	626	626	626	1217	1	3	6	1980	1	288	28	2009	120000
60	NA	8880	7	5	1994	2002	695	253	948	1222	2110	2	3	8	1994	2	463	130	2010	205000
20	80	10400	7	5	1988	1988	929	916	1845	1872	1872	2	3	6	1988	2	604	39	2006	241500
190	69	9142	6	8	1910	1950	0	1020	1020	908	1928	2	4	9	1910	1	440	60	2006	137000
20	75	11310	6	5	1954	1954	0	1367	1367	1375	1375	1	2	5	1954	2	451	30	2006	140000
60	72	11317	7	5	2003	2003	0	840	840	840	1668	2	3	8	2003	2	500	68	2007	180000
50	NA	159000	6	7	1958	2006	697	747	1444	1444	2144	2	4	7	1958	2	389	98	2007	277000
30	55	5350	3	2	1940	1966	0	728	728	1306	1306	1	3	6	NA	0	0	0	2010	76500
120	44	4750	8	5	2006	2007	1573	0	1573	1625	1625	2	2	5	2006	2	538	0	2007	235000
60	65	8366	6	5	2004	2004	0	798	798	798	1640	2	3	6	2004	2	520	45	2008	173000
80	85	9350	6	7	1964	1991	270	452	1302	1302	1302	2	3	7	1964	1	309	0	2007	158000
20	70	8400	5	6	1957	1957	922	392	1314	1314	1314	1	3	5	1957	1	294	0	2010	145000
60	66	8738	7	5	1999	1999	0	975	975	1005	2291	2	4	8	1999	2	429	0	2006	230000
60	64	8791	6	5	2003	2003	503	361	864	864	1728	2	3	7	2003	2	673	56	2008	207500
20	68	8814	7	5	2006	2006	1334	270	1604	1604	1604	2	3	8	2006	2	660	110	2009	220000
60	80	12435	7	5	2001	2001	361	602	963	963	1792	2	3	7	2001	2	564	96	2008	231500
20	70	12702	5	5	1956	1956	0	0	0	882	882	1	2	4	1956	1	308	45	2008	97000
80	120	19296	6	5	1962	1962	672	0	1362	1382	1382	1	3	6	1991	2	884	0	2009	176000
60	69	9588	8	5	2007	2007	0	1482	1482	1482	2574	2	3	10	2007	3	868	148	2007	276000
80	88	8471	6	7	1977	1995	506	0	506	1212	1212	1	3	6	1978	2	492	12	2006	151000
50	50	5500	5	7	1929	2001	234	0	926	926	1316	1	3	6	1974	2	484	0	2010	130000
30	30	5232	5	5	1925	2004	0	680	680	764	764	1	2	4	1965	2	504	0	2008	73000
20	78	12090	6	6	1981	1981	588	606	1422	1422	1422	2	3	7	1981	2	576	0	2008	175500
60	70	11207	6	5	1997	1997	714	88	802	802	1511	2	3	8	1997	2	413	75	2006	185000
75	60	8400	5	8	1939	1997	378	342	720	1052	2192	2	4	8	1939	1	240	24	2008	179500
30	71	6900	5	6	1940	1955	403	212	740	778	778	1	2	4	1966	1	924	25	2008	120500
20	NA	7917	6	7	1976	1976	751	392	1143	1113	1113	1	3	6	1987	1	504	30	2007	148000
60	84	10728	8	5	2006	2006	0	1095	1095	1095	1939	2	3	8	2006	3	1053	51	2006	266000
