MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageCars,GarageArea,OpenPorchSF,YrSold
20,60,9060,5,6,1957,2006,0,0,0,1340,1340,1,3,7,1957,1,252,0,2007
50,63,11426,7,5,2003,2003,0,1362,1362,1362,2082,2,3,6,2003,2,484,238,2008
50,92,7438,5,8,1908,1991,0,504,504,936,1252,1,3,5,1986,2,576,0,2006
75,90,22950,10,9,1892,1993,0,1107,1107,1518,3608,2,4,12,1993,3,840,260,2006
80,NA,9947,7,5,1990,1991,611,577,1188,1217,1217,2,3,6,1990,2,497,27,2009
50,60,10410,5,7,1916,1987,0,660,660,808,1656,2,3,8,1916,1,180,0,2009
90,64,7018,5,5,1979,1979,1086,0,1086,1224,1224,0,2,6,1979,2,528,0,2009
120,41,4923,8,5,2001,2002,1153,440,1593,1593,1593,1,0,5,2001,2,682,120,2008
70,70,10570,8,8,1932,1994,297,556,853,1549,2727,2,3,10,1932,2,440,74,2007
60,NA,7472,7,9,1972,2004,626,99,725,725,1479,1,4,7,1972,2,484,32,2007
20,68,9017,7,5,1999,1999,560,871,1431,1431,1431,2,3,6,1999,2,666,35,2009
160,24,2522,7,5,2004,2004,0,970,970,970,1709,2,3,7,2004,2,380,40,2006
20,60,7180,5,7,1972,1972,390,474,864,864,864,1,3,5,1989,1,352,0,2008
160,24,2280,6,6,1976,1976,566,289,855,855,1456,2,3,7,1976,2,440,0,2009
20,79,9416,7,5,2007,2007,1126,600,1726,1726,1726,2,3,8,2007,3,786,138,2007
75,174,25419,8,4,1918,1990,1036,140,1360,1360,3112,2,4,8,1918,2,795,16,2006
75,92,5520,6,6,1912,1950,0,755,755,929,2229,1,5,8,NA,0,0,198,2009
20,76,9591,8,5,2004,2005,1088,625,1713,1713,1713,2,3,7,2004,3,856,26,2009
20,80,8546,4,5,2003,2004,0,1121,1121,1121,1121,2,2,5,2003,2,440,64,2010
20,75,10125,6,6,1977,1977,641,276,1196,1279,1279,2,3,6,1980,2,473,83,2008
50,50,7000,6,6,1924,1950,617,0,617,865,1310,2,2,6,1924,1,398,0,2006
120,NA,4438,6,5,2004,2004,662,186,848,848,848,1,1,3,2004,2,420,0,2008
50,50,3500,5,7,1947,1950,312,408,720,720,1284,1,2,5,1948,1,240,35,2009
20,99,11851,7,5,1990,1990,0,1424,1424,1442,1442,2,3,5,1990,2,500,34,2009
20,40,13673,5,5,1962,1962,0,1140,1140,1696,1696,1,3,8,1962,1,349,30,2007
20,NA,12493,4,5,1960,1960,419,375,1100,1100,1100,1,3,6,1960,1,312,0,2008
60,NA,14364,7,5,1988,1989,1065,92,1157,1180,2062,2,3,7,1988,2,454,55,2007
20,75,8250,6,7,1964,1964,787,305,1092,1092,1092,1,3,6,1964,2,504,0,2008
30,67,5604,5,6,1925,1950,468,396,864,864,864,1,2,5,NA,0,0,0,2008
20,83,10420,6,5,2009,2009,36,1176,1212,1212,1212,2,3,6,2009,2,460,22,2010
60,72,8640,7,5,2009,2009,822,78,900,932,1852,2,3,7,2009,2,644,108,2009
20,43,13568,5,5,1995,1995,716,274,990,990,990,1,3,5,1996,2,576,0,2006
60,NA,10900,6,7,1977,1977,378,311,689,689,1392,1,3,6,1977,1,299,36,2010
20,72,10011,5,6,1957,1996,360,710,1070,1236,1236,1,2,6,1957,1,447,0,2006
20,65,8450,7,5,2004,2004,946,490,1436,1436,1436,2,3,8,2004,2,484,98,2008
70,57,9906,4,4,1925,1950,0,686,686,810,1328,1,3,8,1940,1,210,172,2006
50,NA,15660,7,9,1939,2006,341,457,798,1137,1954,1,3,8,1939,2,431,119,2008
120,43,3010,7,5,2005,2006,16,1232,1248,1248,1248,2,2,5,2005,2,438,0,2006
20,73,8990,7,5,2006,2006,0,1498,1498,1498,1498,2,2,5,2006,2,675,33,2006
60,NA,8068,6,5,2002,2002,0,1010,1010,1010,2267,2,4,8,2002,2,390,46,2009
60,85,11475,6,6,1975,1975,550,163,713,811,1552,2,3,6,1975,2,434,208,2006
20,70,10500,4,6,1971,1971,524,160,864,864,864,1,2,4,1989,2,576,0,2009
20,103,13472,10,5,2003,2003,56,2336,2392,2392,2392,2,3,8,2003,3,968,105,2009
160,21,1680,5,5,1971,1971,0,630,630,630,1302,2,3,6,1991,1,280,0,2009
60,82,9950,7,5,1995,1995,565,638,1203,1214,2520,2,4,9,1995,3,721,114,2007
160,21,1869,6,6,1970,1970,321,162,483,483,987,1,2,5,1987,1,280,0,2008
20,70,8521,5,5,1967,1967,842,70,912,912,912,1,3,5,1974,1,336,0,2010
120,43,3182,7,5,2005,2006,16,1357,1373,1555,1555,2,2,7,2005,2,430,20,2009
20,73,8760,6,6,1959,1959,0,1194,1194,1194,1194,1,3,6,1959,1,312,0,2010
60,174,15138,8,5,1995,1996,689,773,1462,1490,2794,2,4,9,1995,3,810,146,2009
160,21,1680,6,5,1972,1972,0,483,483,483,987,1,2,5,1972,1,288,0,2006
20,75,10650,5,6,1976,1976,182,0,894,894,894,1,3,5,1976,1,308,0,2010
60,NA,7851,6,5,2002,2002,625,235,860,860,1960,2,4,8,2002,2,440,48,2010
160,21,1680,6,3,1971,1971,358,125,483,483,987,1,2,5,1971,1,264,0,2008
20,65,8773,7,5,2004,2004,24,1390,1414,1414,1414,2,3,6,2004,2,494,105,2010
60,NA,9453,7,7,1993,2003,402,594,996,1014,1744,2,3,7,1993,2,457,70,2010
20,93,12030,8,5,2007,2007,0,1694,1694,1694,1694,2,3,7,2007,3,818,228,2007
50,52,8741,6,4,1945,1950,94,641,735,798,1487,1,3,7,1949,1,220,140,2010
20,75,9000,8,5,2008,2008,1078,488,1566,1566,1566,2,3,7,2008,2,750,168,2010
30,40,3880,5,9,1945,1997,329,357,686,866,866,1,2,4,NA,0,0,42,2007
50,63,5000,5,4,1900,1950,0,540,540,889,1440,1,3,6,1940,1,352,0,2006
160,75,10762,6,6,1980,1980,0,626,626,626,1217,1,3,6,1980,1,288,28,2009
60,NA,8880,7,5,1994,2002,695,253,948,1222,2110,2,3,8,1994,2,463,130,2010
20,80,10400,7,5,1988,1988,929,916,1845,1872,1872,2,3,6,1988,2,604,39,2006
190,69,9142,6,8,1910,1950,0,1020,1020,908,1928,2,4,9,1910,1,440,60,2006
20,75,11310,6,5,1954,1954,0,1367,1367,1375,1375,1,2,5,1954,2,451,30,2006
60,72,11317,7,5,2003,2003,0,840,840,840,1668,2,3,8,2003,2,500,68,2007
50,NA,159000,6,7,1958,2006,697,747,1444,1444,2144,2,4,7,1958,2,389,98,2007
30,55,5350,3,2,1940,1966,0,728,728,1306,1306,1,3,6,NA,0,0,0,2010
120,44,4750,8,5,2006,2007,1573,0,1573,1625,1625,2,2,5,2006,2,538,0,2007
60,65,8366,6,5,2004,2004,0,798,798,798,1640,2,3,6,2004,2,520,45,2008
80,85,9350,6,7,1964,1991,270,452,1302,1302,1302,2,3,7,1964,1,309,0,2007
20,70,8400,5,6,1957,1957,922,392,1314,1314,1314,1,3,5,1957,1,294,0,2010
60,66,8738,7,5,1999,1999,0,975,975,1005,2291,2,4,8,1999,2,429,0,2006
60,64,8791,6,5,2003,2003,503,361,864,864,1728,2,3,7,2003,2,673,56,2008
20,68,8814,7,5,2006,2006,1334,270,1604,1604,1604,2,3,8,2006,2,660,110,2009
60,80,12435,7,5,2001,2001,361,602,963,963,1792,2,3,7,2001,2,564,96,2008
20,70,12702,5,5,1956,1956,0,0,0,882,882,1,2,4,1956,1,308,45,2008
80,120,19296,6,5,1962,1962,672,0,1362,1382,1382,1,3,6,1991,2,884,0,2009
60,69,9588,8,5,2007,2007,0,1482,1482,1482,2574,2,3,10,2007,3,868,148,2007
80,88,8471,6,7,1977,1995,506,0,506,1212,1212,1,3,6,1978,2,492,12,2006
50,50,5500,5,7,1929,2001,234,0,926,926,1316,1,3,6,1974,2,484,0,2010
30,30,5232,5,5,1925,2004,0,680,680,764,764,1,2,4,1965,2,504,0,2008
20,78,12090,6,6,1981,1981,588,606,1422,1422,1422,2,3,7,1981,2,576,0,2008
60,70,11207,6,5,1997,1997,714,88,802,802,1511,2,3,8,1997,2,413,75,2006
75,60,8400,5,8,1939,1997,378,342,720,1052,2192,2,4,8,1939,1,240,24,2008
30,71,6900,5,6,1940,1955,403,212,740,778,778,1,2,4,1966,1,924,25,2008
20,NA,7917,6,7,1976,1976,751,392,1143,1113,1113,1,3,6,1987,1,504,30,2007
60,84,10728,8,5,2006,2006,0,1095,1095,1095,1939,2,3,8,2006,3,1053,51,2006
20,73,39104,7,7,1954,2005,226,96,1385,1363,1363,1,2,5,1954,2,439,0,2008
60,92,11764,8,7,1999,2007,524,628,1152,1164,2270,2,4,9,1999,3,671,57,2010
20,80,9600,6,6,1958,1988,620,0,1240,1632,1632,2,3,6,1958,1,338,0,2009
20,76,8314,5,7,1982,1982,546,270,816,816,816,1,2,5,1982,1,264,0,2007
50,55,7264,7,7,1925,2007,0,952,952,952,1548,2,3,5,1978,2,672,0,2009
20,129,9196,7,5,2003,2003,0,1560,1560,1560,1560,2,3,7,2003,2,573,150,2010
20,140,19138,4,5,1951,1951,120,744,864,864,864,1,2,4,1951,2,400,0,2010
20,107,14450,9,5,2006,2007,0,2121,2121,2121,2121,2,3,8,2007,3,732,98,2007
60,83,10005,7,5,1977,1977,392,768,1160,1156,2022,2,4,8,1977,2,505,117,2008
60,82,11287,7,6,1989,1989,421,386,807,1175,1982,2,3,7,1989,2,575,84,2007
20,60,7200,6,5,2006,2006,905,357,1262,1262,1262,2,2,5,2006,2,572,120,2006
120,34,5063,7,5,2007,2008,904,410,1314,1314,1314,2,2,6,2008,2,626,62,2009
20,74,9612,8,5,2008,2009,0,1468,1468,1468,1468,2,3,6,2008,3,898,150,2009
120,50,8012,6,5,1992,1992,430,1145,1575,1575,1575,2,2,5,1992,2,529,0,2007
160,35,4251,7,5,2006,2007,0,625,625,625,1250,2,2,5,2006,2,528,54,2007
50,77,9786,6,7,1962,1981,600,312,912,1085,1734,1,3,7,1962,2,440,0,2006
20,NA,8125,4,4,1971,1971,614,244,858,858,858,1,3,5,NA,0,0,0,2006
